Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration
09579,2032 May 9,13:26:42,79,400,148,A,-0.9375,0.9957,51.3S,7.1W,20,345,44,00m22s
09580,2032 November 3,05:34:13,79,406,153,P,1.0643,0.8554,70.4N,132.6E,0,218,,
09581,2033 March 30,18:02:36,80,411,120,T,0.9778,1.0462,71.3N,155.8W,11,111,781,02m37s
09582,2033 September 23,13:54:31,80,417,125,P,-1.1583,0.689,72.2S,121.2W,0,91,,
09583,2034 March 20,10:18:45,80,423,130,T,0.2894,1.0458,16.1N,22.2E,73,162,159,04m09s
09584,2034 September 12,16:19:28,81,429,135,A,-0.3936,0.9736,18.2S,72.6W,67,18,102,02m58s
09585,2035 March 9,23:05:54,81,435,140,A,-0.4368,0.9919,29.0S,154.9W,64,340,31,00m48s
09586,2035 September 2,01:56:46,81,441,145,T,0.3727,1.032,29.1N,158.0E,68,199,116,02m54s
09587,2036 February 27,04:46:49,82,447,150,P,-1.1942,0.6286,71.6S,131.4W,0,242,,
09588,2036 July 23,10:32:06,82,452,117,P,-1.425,0.1991,68.9S,3.6E,0,19,,
09589,2036 August 21,17:25:45,82,453,155,P,1.0825,0.8622,71.1N,47.0E,0,309,,
09590,2037 January 16,09:48:55,82,458,122,P,1.1477,0.7049,68.5N,20.8E,0,166,,
09591,2037 July 13,02:40:36,83,464,127,T,-0.7246,1.0413,24.8S,139.1E,43,3,201,03m58s
09592,2038 January 5,13:47:11,83,470,132,A,0.4169,0.9728,2.1N,25.4W,65,179,107,03m18s
09593,2038 July 2,13:32:55,84,476,137,A,0.0398,0.9911,25.4N,21.9W,88,179,31,01m00s
09594,2038 December 26,01:00:10,84,482,142,T,-0.2881,1.0268,40.3S,164.0E,73,5,95,02m18s
09595,2039 June 21,17:12:54,84,488,147,A,0.8312,0.9454,78.9N,102.1W,33,153,365,04m05s
09596,2039 December 15,16:23:46,85,494,152,T,-0.9458,1.0356,80.9S,172.8E,18,123,380,01m51s
09597,2040 May 11,03:43:02,85,499,119,P,-1.2529,0.5306,62.8S,174.4E,0,313,,
09598,2040 November 4,19:09:02,85,505,124,P,1.0993,0.8074,62.2N,53.4W,0,234,,
09599,2041 April 30,11:52:21,86,511,129,T,-0.4492,1.0189,9.6S,12.2E,63,337,72,01m51s
09600,2041 October 25,01:36:22,86,517,134,A,0.4133,0.9467,9.9N,162.9E,66,206,213,06m07s
09601,2042 April 20,02:17:30,86,523,139,T,0.2956,1.0614,27.0N,137.3E,73,151,210,04m51s
09602,2042 October 14,02:00:42,87,529,144,A,-0.303,0.93,23.7S,137.8E,72,30,273,07m44s
09603,2043 April 9,18:57:49,87,535,149,T+,1.0031,1.0095,61.3N,152.0E,0,74,-,-
09604,2043 October 3,03:01:49,88,541,154,A-,-1.0102,0.9497,61.0S,35.3E,0,98,-,-
09605,2044 February 28,20:24:40,88,546,121,As,-0.9954,0.96,62.2S,25.6W,4,260,-,02m27s
09606,2044 August 23,01:17:02,88,552,126,T,0.9613,1.0364,64.3N,120.4W,15,264,453,02m04s
09607,2045 February 16,23:56:07,89,558,131,A,-0.3125,0.9285,28.3S,166.2W,72,331,281,07m47s
09608,2045 August 12,17:42:39,89,564,136,T,0.2116,1.0774,25.9N,78.5W,78,206,256,06m06s
09609,2046 February 5,23:06:26,90,570,141,A,0.3765,0.9232,4.8N,171.4W,68,157,310,09m42s
09610,2046 August 2,10:21:13,90,576,146,T,-0.535,1.0531,12.7S,15.2E,58,21,206,04m51s
09611,2047 January 26,01:33:18,90,582,151,P,1.045,0.8907,62.9N,111.7E,0,135,,
09612,2047 June 23,10:52:31,91,587,118,P,1.3766,0.3129,65.8N,178.0W,0,346,,
09613,2047 July 22,22:36:17,91,588,156,P,-1.3477,0.3604,63.4S,160.2E,0,40,,
09614,2047 December 16,23:50:12,91,593,123,P,-1.0661,0.8816,66.4S,6.6W,0,188,,
09615,2048 June 11,12:58:53,92,599,128,A,0.6468,0.9441,63.7N,11.5W,49,184,272,04m58s
09616,2048 December 5,15:35:27,92,605,133,T,-0.3973,1.044,46.1S,56.4W,66,1,160,03m28s
09617,2049 May 31,13:59:59,92,611,138,A,-0.1187,0.9631,15.3N,29.9W,83,358,134,04m45s
09618,2049 November 25,05:33:48,93,617,143,H,0.2943,1.0057,3.8S,95.2E,73,185,21,00m38s
09619,2050 May 20,20:42:50,94,623,148,H,-0.8688,1.0038,40.1S,123.7W,29,352,27,00m21s
09620,2050 November 14,13:30:53,95,629,153,P,1.0447,0.8874,69.5N,1.0E,0,206,,
09621,2051 April 11,02:10:39,95,634,120,P,1.0169,0.9849,71.6N,32.2E,0,63,,
09622,2051 October 4,21:02:14,96,640,125,P,-1.2094,0.6024,72.0S,117.7E,0,105,,
09623,2052 March 30,18:31:53,97,646,130,T,0.3238,1.0466,22.4N,102.5W,71,161,164,04m08s
09624,2052 September 22,23:39:10,98,652,135,A,-0.448,0.9734,25.7S,175.0E,63,20,106,02m51s
09625,2053 March 20,07:08:19,99,658,140,A,-0.4089,0.9919,23.0S,83.0E,66,341,31,00m50s
09626,2053 September 12,09:34:09,100,664,145,T,0.314,1.0328,21.5N,41.7E,72,199,116,03m04s
09627,2054 March 9,12:33:40,101,670,150,P,-1.1711,0.6678,72.0S,97.9E,0,256,,
09628,2054 August 3,18:04:02,102,675,117,Pe,-1.4941,0.0655,69.8S,121.3W,0,31,,
09629,2054 September 2,01:09:34,102,676,155,P,1.0215,0.9793,71.7N,82.3W,0,296,,
09630,2055 January 27,17:54:05,103,681,122,P,1.155,0.6932,69.5N,112.2W,0,154,,
09631,2055 July 24,09:57:50,104,687,127,T,-0.8012,1.0359,33.3S,25.8E,37,8,202,03m17s
09632,2056 January 16,22:16:45,105,693,132,A,0.4199,0.9759,3.9N,153.5W,65,175,95,02m52s
09633,2056 July 12,20:21:59,106,699,137,A,-0.0426,0.9878,19.4N,123.7W,88,3,43,01m26s
09634,2057 January 5,09:47:52,107,705,142,T,-0.2837,1.0287,39.2S,35.2E,73,359,102,02m29s
09635,2057 July 1,23:40:15,108,711,147,A,0.7455,0.9464,71.5N,176.2W,41,177,298,04m23s
09636,2057 December 26,01:14:35,109,717,152,T,-0.9405,1.0348,84.9S,21.8E,19,141,355,01m50s
09637,2058 May 22,10:39:25,110,722,119,P,-1.3194,0.4141,63.5S,61.1E,0,322,,
09638,2058 June 21,00:19:35,110,723,157,Pb,1.4869,0.126,65.9N,9.9E,0,13,,
09639,2058 November 16,03:23:07,111,728,124,P,1.1224,0.7644,62.9N,174.2E,0,225,,
09640,2059 May 11,19:22:16,112,734,129,T,-0.508,1.0242,10.7S,100.4W,59,340,95,02m23s
09641,2059 November 5,09:18:15,113,740,134,A,0.4454,0.9417,8.7N,47.1E,63,203,238,07m00s
09642,2060 April 30,10:10:00,114,746,139,T,0.2422,1.066,28.0N,20.9E,76,154,222,05m15s
09643,2060 October 24,09:24:10,115,752,144,A,-0.2625,0.9277,25.8S,28.1E,75,28,281,08m06s
09644,2061 April 20,02:56:49,116,758,149,T,0.9578,1.0475,64.5N,59.2E,16,97,559,02m37s
09645,2061 October 13,10:32:10,117,764,154,A,-0.9639,0.9469,62.1S,54.4W,15,79,743,03m41s
09646,2062 March 11,04:26:16,118,769,121,P,-1.0238,0.9331,61.0S,147.1W,0,263,,
09647,2062 September 3,08:54:27,119,775,126,P,1.0191,0.9749,61.3N,150.3E,0,286,,
09648,2063 February 28,07:43:30,120,781,131,A,-0.336,0.9293,25.2S,77.7E,70,329,280,07m41s
09649,2063 August 24,01:22:11,121,787,136,T,0.2771,1.075,25.6N,168.4E,74,209,252,05m49s
09650,2064 February 17,07:00:23,122,793,141,A,0.3597,0.9262,7.0N,69.7E,69,154,295,08m56s
09651,2064 August 12,17:46:06,123,799,146,T,-0.4652,1.0495,10.9S,96.0W,62,24,184,04m28s
09652,2065 February 5,09:52:26,124,805,151,P,1.0336,0.9123,62.2N,21.9W,0,125,,
09653,2065 July 3,17:33:52,125,810,118,P,1.4619,0.1638,64.8N,71.9E,0,336,,
09654,2065 August 2,05:34:17,125,811,156,P,-1.2759,0.4903,62.7S,46.5E,0,49,,
09655,2065 December 27,08:39:56,126,816,123,P,-1.0688,0.8769,65.4S,149.2W,0,198,,
09656,2066 June 22,19:25:48,127,822,128,A,0.733,0.9435,70.1N,96.4W,43,198,309,04m40s
09657,2066 December 17,00:23:40,128,828,133,T,-0.4043,1.0416,47.4S,175.8E,66,355,152,03m14s
09658,2067 June 11,20:42:26,129,834,138,A,-0.0387,0.967,21.0N,130.2W,88,2,119,04m05s
09659,2067 December 6,14:03:43,130,840,143,H,0.2845,1.0011,6.0S,32.4W,74,181,4,00m08s
09660,2068 May 31,03:56:39,131,846,148,T,-0.797,1.011,31.0S,123.2E,37,357,63,01m06s
09661,2068 November 24,21:32:30,132,852,153,P,1.0299,0.9109,68.5N,131.1W,0,194,,
09662,2069 April 21,10:11:09,133,857,120,P,1.0624,0.8992,71.0N,101.3W,0,50,,
09663,2069 May 20,17:53:18,133,858,158,Pb,-1.4852,0.0879,68.8S,69.9W,0,342,,
09664,2069 October 15,04:19:56,134,863,125,P,-1.2524,0.5298,71.6S,5.5W,0,119,,
09665,2070 April 11,02:36:09,135,869,130,T,0.3652,1.0472,29.1N,135.1E,68,162,168,04m04s
09666,2070 October 4,07:08:57,136,875,135,A,-0.495,0.9731,32.8S,60.4E,60,21,110,02m44s
